date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:12	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2022%20May%202018%2018:44:11%20GMT	http://www.coolmath-games.com/user/login	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/user/login	(from http://www.coolmath-games.com/)
14:44:12	22545/22545	---M-Z	200	added ('OK')	text/html	etag:%221527014651-1%22	https://www.coolmath-games.com/user/login	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/user/login.html	(from http://www.coolmath-games.com/)
14:44:13	136740/136740	---M-Z	200	added ('OK')	text/html	etag:%221526951011-1%22	http://www.coolmath-games.com/1-strategy-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-strategy-games.html	(from http://www.coolmath-games.com/)
14:44:14	148553/148553	---M-Z	200	added ('OK')	text/html	etag:%221526951119-1%22	http://www.coolmath-games.com/1-skill-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-skill-games.html	(from http://www.coolmath-games.com/)
14:44:14	120715/120715	---M-Z	200	added ('OK')	text/html	etag:%221526926798-1%22	http://www.coolmath-games.com/1-number-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-number-games.html	(from http://www.coolmath-games.com/)
14:44:15	152171/152171	---M-Z	200	added ('OK')	text/html	etag:%221526938082-1%22	http://www.coolmath-games.com/1-logic-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-logic-games.html	(from http://www.coolmath-games.com/)
14:44:16	94658/94658	---M-Z	200	added ('OK')	text/html	etag:%221527007979-1%22	http://www.coolmath-games.com/trivia	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/trivia.html	(from http://www.coolmath-games.com/)
14:44:16	113679/113679	---M-Z	200	added ('OK')	text/html	etag:%221526926914-1%22	http://www.coolmath-games.com/1-classic-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-classic-games.html	(from http://www.coolmath-games.com/)
14:44:17	113453/113453	---M-Z	200	added ('OK')	text/html	etag:%221526930262-1%22	http://www.coolmath-games.com/0-jigsaw-puzzles	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/0-jigsaw-puzzles.html	(from http://www.coolmath-games.com/)
14:44:18	114564/114564	---M-Z	200	added ('OK')	text/html	etag:%221526952780-1%22	http://www.coolmath-games.com/1-memory-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-memory-games.html	(from http://www.coolmath-games.com/)
14:44:18	266057/266057	---M-Z	200	added ('OK')	application/javascript	etag:%2240f49-559c7e8affaac-gzip%22	http://www.coolmath-games.com/profiles/dsk/modules/contrib/jquery_update/replace/jquery/1.8/jquery.js	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/profiles/dsk/modules/contrib/jquery_update/replace/jquery/1.8/jquery.js	(from http://www.coolmath-games.com/)
14:44:18	108641/108641	---M-Z	200	added ('OK')	text/html	etag:%221526927218-1%22	http://www.coolmath-games.com/1-geography-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-geography-games.html	(from http://www.coolmath-games.com/)
14:44:19	106420/106420	---M-Z	200	added ('OK')	text/html	etag:%221526927084-1%22	http://www.coolmath-games.com/1-science-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-science-games.html	(from http://www.coolmath-games.com/)
14:44:20	189112/189112	---M-Z	200	added ('OK')	text/html	etag:%221526951718-1%22	http://www.coolmath-games.com/1-html5-games	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-html5-games.html	(from http://www.coolmath-games.com/)
14:44:20	101158/101158	---M-Z	200	added ('OK')	text/html	etag:%221526926755-1%22	http://www.coolmath-games.com/1-playlists	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-playlists.html	(from http://www.coolmath-games.com/)
14:44:21	7317/7317	---M-Z	200	added ('OK')	text/html	etag:%221526296627-1%22	http://www.coolmath-games.com/random	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/random.html	(from http://www.coolmath-games.com/)
14:44:21	127975/127975	---M-Z	200	added ('OK')	text/html	etag:%221526926920-1%22	http://www.coolmath-games.com/1-unlockable-game-list	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-unlockable-game-list.html	(from http://www.coolmath-games.com/)
14:44:22	248460/248460	---M-Z	200	added ('OK')	text/html	etag:%221527006093-1%22	http://www.coolmath-games.com/1-complete-game-list	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/1-complete-game-list.html	(from http://www.coolmath-games.com/)
14:44:23	3208/3208	---M--	200	added ('OK')	image/png	etag:%22c88-54ae53a7cd4f8%22	http://www.coolmath-games.com/sites/cmatgame/files/cm4k-copy.png	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/cm4k-copy.png	(from http://www.coolmath-games.com/)
